filename,full_path,building,image_type,datetime,latitude,longitude,resolution,camera_make,camera_model
IRX_0205.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0205.JPG,Unknown,Thermal,2022-11-02 11:13:09,40.51476245,-74.43350299,640x512,Autel Robotics,XT706
IRX_0206.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0206.JPG,Unknown,Thermal,2022-11-02 11:13:12,40.51475988,-74.43344814,640x512,Autel Robotics,XT706
IRX_0207.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0207.JPG,Unknown,Thermal,2022-11-02 11:13:17,40.51477437,-74.43333305,640x512,Autel Robotics,XT706
IRX_0208.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0208.JPG,Unknown,Thermal,2022-11-02 11:13:21,40.51478198,-74.4332494,640x512,Autel Robotics,XT706
IRX_0209.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0209.JPG,Unknown,Thermal,2022-11-02 11:13:25,40.514814,-74.43317073,640x512,Autel Robotics,XT706
IRX_0210.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0210.JPG,Unknown,Thermal,2022-11-02 11:13:29,40.51485694,-74.43309392,640x512,Autel Robotics,XT706
IRX_0211.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0211.JPG,Unknown,Thermal,2022-11-02 11:13:34,40.51489925,-74.43302935,640x512,Autel Robotics,XT706
IRX_0212.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0212.JPG,Unknown,Thermal,2022-11-02 11:13:38,40.51495749,-74.43296679,640x512,Autel Robotics,XT706
IRX_0213.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0213.JPG,Unknown,Thermal,2022-11-02 11:13:46,40.51501677,-74.43289399,640x512,Autel Robotics,XT706
IRX_0214.JPG,/content/drive/My Drive/University/OLD/SeniorDesign_Drotis/Data/11 2/IRX_0214.JPG,Unknown,Thermal,2022-11-02 11:13:51,40.51507537,-74.43284156,640x512,Autel Robotics,XT706
