Filename,SourceFile,Phi (Pitch),Kappa (Yaw),Omega (Roll),Latitude,Longitude,Altitude
MAX_2038.JPG,/mnt/d/DCIM/107MEDIA/MAX_2038.JPG,,,,"40 deg 31' 25.45"" N","74 deg 27' 35.89"" W",50.9 m Above Sea Level
MIX_2039.JPG,/mnt/d/DCIM/107MEDIA/MIX_2039.JPG,,,,"40 deg 31' 25.45"" N","74 deg 27' 35.89"" W",50.9 m Above Sea Level
IRX_2039.JPG,/mnt/d/DCIM/107MEDIA/IRX_2039.JPG,,,,"40 deg 31' 25.45"" N","74 deg 27' 35.89"" W",50.9 m Above Sea Level
MAX_2039.JPG,/mnt/d/DCIM/107MEDIA/MAX_2039.JPG,,,,"40 deg 31' 25.46"" N","74 deg 27' 35.91"" W",50.9 m Above Sea Level
MIX_2040.JPG,/mnt/d/DCIM/107MEDIA/MIX_2040.JPG,,,,"40 deg 31' 25.46"" N","74 deg 27' 35.91"" W",50.9 m Above Sea Level
IRX_2040.JPG,/mnt/d/DCIM/107MEDIA/IRX_2040.JPG,,,,"40 deg 31' 25.46"" N","74 deg 27' 35.91"" W",50.9 m Above Sea Level
MAX_2040.JPG,/mnt/d/DCIM/107MEDIA/MAX_2040.JPG,,,,"40 deg 31' 25.47"" N","74 deg 27' 35.97"" W",50.9 m Above Sea Level
MIX_2041.JPG,/mnt/d/DCIM/107MEDIA/MIX_2041.JPG,,,,"40 deg 31' 25.47"" N","74 deg 27' 35.97"" W",50.9 m Above Sea Level
IRX_2041.JPG,/mnt/d/DCIM/107MEDIA/IRX_2041.JPG,,,,"40 deg 31' 25.47"" N","74 deg 27' 35.97"" W",50.9 m Above Sea Level
MAX_2041.JPG,/mnt/d/DCIM/107MEDIA/MAX_2041.JPG,,,,"40 deg 31' 25.49"" N","74 deg 27' 36.00"" W",50.9 m Above Sea Level
MIX_2042.JPG,/mnt/d/DCIM/107MEDIA/MIX_2042.JPG,,,,"40 deg 31' 25.49"" N","74 deg 27' 36.00"" W",50.9 m Above Sea Level
IRX_2042.JPG,/mnt/d/DCIM/107MEDIA/IRX_2042.JPG,,,,"40 deg 31' 25.49"" N","74 deg 27' 36.00"" W",50.9 m Above Sea Level
MAX_2042.JPG,/mnt/d/DCIM/107MEDIA/MAX_2042.JPG,,,,"40 deg 31' 25.49"" N","74 deg 27' 36.02"" W",50.9 m Above Sea Level
MIX_2043.JPG,/mnt/d/DCIM/107MEDIA/MIX_2043.JPG,,,,"40 deg 31' 25.49"" N","74 deg 27' 36.02"" W",50.9 m Above Sea Level
IRX_2043.JPG,/mnt/d/DCIM/107MEDIA/IRX_2043.JPG,,,,"40 deg 31' 25.49"" N","74 deg 27' 36.02"" W",50.9 m Above Sea Level
MAX_2043.JPG,/mnt/d/DCIM/107MEDIA/MAX_2043.JPG,,,,"40 deg 31' 25.50"" N","74 deg 27' 36.05"" W",50.8 m Above Sea Level
MIX_2044.JPG,/mnt/d/DCIM/107MEDIA/MIX_2044.JPG,,,,"40 deg 31' 25.50"" N","74 deg 27' 36.05"" W",50.8 m Above Sea Level
IRX_2044.JPG,/mnt/d/DCIM/107MEDIA/IRX_2044.JPG,,,,"40 deg 31' 25.50"" N","74 deg 27' 36.05"" W",50.8 m Above Sea Level
MAX_2044.JPG,/mnt/d/DCIM/107MEDIA/MAX_2044.JPG,,,,"40 deg 31' 25.50"" N","74 deg 27' 36.08"" W",50.9 m Above Sea Level
MIX_2045.JPG,/mnt/d/DCIM/107MEDIA/MIX_2045.JPG,,,,"40 deg 31' 25.50"" N","74 deg 27' 36.08"" W",50.9 m Above Sea Level
IRX_2045.JPG,/mnt/d/DCIM/107MEDIA/IRX_2045.JPG,,,,"40 deg 31' 25.50"" N","74 deg 27' 36.08"" W",50.9 m Above Sea Level
MAX_2045.JPG,/mnt/d/DCIM/107MEDIA/MAX_2045.JPG,,,,"40 deg 31' 25.50"" N","74 deg 27' 36.08"" W",50.9 m Above Sea Level
MIX_2046.JPG,/mnt/d/DCIM/107MEDIA/MIX_2046.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.8 m Above Sea Level
IRX_2046.JPG,/mnt/d/DCIM/107MEDIA/IRX_2046.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.8 m Above Sea Level
MAX_2046.JPG,/mnt/d/DCIM/107MEDIA/MAX_2046.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.8 m Above Sea Level
MIX_2047.JPG,/mnt/d/DCIM/107MEDIA/MIX_2047.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.8 m Above Sea Level
IRX_2047.JPG,/mnt/d/DCIM/107MEDIA/IRX_2047.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.8 m Above Sea Level
MAX_2047.JPG,/mnt/d/DCIM/107MEDIA/MAX_2047.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.9 m Above Sea Level
MIX_2048.JPG,/mnt/d/DCIM/107MEDIA/MIX_2048.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.9 m Above Sea Level
IRX_2048.JPG,/mnt/d/DCIM/107MEDIA/IRX_2048.JPG,,,,"40 deg 31' 25.51"" N","74 deg 27' 36.08"" W",50.9 m Above Sea Level
MAX_2048.JPG,/mnt/d/DCIM/107MEDIA/MAX_2048.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.11"" W",50.9 m Above Sea Level
MIX_2049.JPG,/mnt/d/DCIM/107MEDIA/MIX_2049.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.11"" W",50.9 m Above Sea Level
IRX_2049.JPG,/mnt/d/DCIM/107MEDIA/IRX_2049.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.11"" W",50.9 m Above Sea Level
MAX_2049.JPG,/mnt/d/DCIM/107MEDIA/MAX_2049.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.13"" W",50.9 m Above Sea Level
